_id,num_stars
53dfc8b4a3a729110ca8d360,
537d599ca3a72973a2dc0276,
53698e89a3a729239d2034c0,3.0
53699760a3a729239d204c97,1.0
53699042a3a729239d20396d,2.0
5369977aa3a729239d204cdb,3.0
53698ecda3a729239d203583,
536993cda3a729239d2042bb,3.0
5369a223a3a729239d206780,1.0
54789429c751df7c7c4484b3,
54cb62b3c751df25ba467389,3.0
550aeab0c751df432c882846,3.0
55520f6888ee381a501c0beb,
55520f6fc751df7640190c84,
55520f7b88ee381c0e1c0beb,
55520f8488ee381c0e1c0bee,
55520f8888ee381c0e1c0bf1,
55520f91c751df7977190c92,
55520fa4c751df7977190c9a,
56278b2b88ee38159312613d,3.0
56392e45c751df71f5dcc3f0,3.0
563c8885c751df3e01dcc3f0,3.0
5763f43d88ee382a64ab6512,
57dd0f2cc751df4e0879df72,
57debe02c751df6f9779df72,
5b6d47c08b4c41647283ed1e,3.0
5c6ea98b634f414397dde1f1,3.0
5369a1baa3a729239d20668d,
53698ed9a3a729239d2035a3,3.0
53698f4fa3a729239d2036f0,
53698f5ca3a729239d20371a,3.0
53698f60a3a729239d203725,
53698f90a3a729239d2037a0,3.0
53699766a3a729239d204ca3,3.0
5369977da3a729239d204ce4,3.0
53698ecaa3a729239d203573,3.0
53698ed3a3a729239d203592,3.0
53698f1ca3a729239d20365a,
537d5ad3a3a72973a2dc0277,3.0
53698fc2a3a729239d20381d,
53ae81fea3a729709f56d4ff,3.0
53699767a3a729239d204ca6,3.0
53699775a3a729239d204ccf,3.0
53699332a3a729239d204118,3.0
53699da0a3a729239d205c9e,3.0
536999c0a3a729239d20530e,
5369a09ca3a729239d2063e1,
53698e24a3a729239d2033b6,
536994b0a3a729239d2044e9,
53698f42a3a729239d2036bc,
53699af4a3a729239d2055f8,
53698e5ba3a729239d20343f,
53699f29a3a729239d20607a,3.0
53699589a3a729239d204757,3.0
5369a394a3a729239d206ac9,
53698e63a3a729239d203452,
53699468a3a729239d204436,
536994eea3a729239d204583,
5369a222a3a729239d20677e,
53699fbda3a729239d2061d4,3.0
546b4402c751df4e606c8d07,
54b3edccc751df108fae2615,3.0
54b4d1fdc751df5bd6ae2616,3.0
54e463dcc751df715d467389,
54e464bfc751df72f8467389,3.0
54e4a8e4c751df50c0467389,
551b19e9c751df08844b1077,3.0
55520f67c751df7640190c83,
5587de2bc751df728ea453bd,3.0
5627536688ee38162512613e,3.0
56288b23c751df64dfbd3536,
563c8641c751df3548dcc3f0,
56ec087e88ee385297e1a628,3.0
57fbbbdf88ee38176c5ff490,3.0
586c5978c751df5aa32b7154,
58d1991c88ee3823cd0a4a78,3.0
59593614a3a7291dcf9c8271,
59847f6fc751df5cae1a51c7,3.0
598483e6c751df645afb27b3,3.0
59848c13c751df68019a68af,
5936bee5a3a72968e18772c3,
599d8fd388ee382d835b09e7,3.0
59a025d2c751df7ae758a482,3.0
59a0314988ee380d020ea91d,3.0
59a434dcc751df4b1a735feb,3.0
59a5379bc751df5e208d72db,
59aea7bdb595087a239169db,3.0
59aea7c8a3a72917daf3fc7a,3.0
59aea7cda3a72917d9f3fc93,3.0
59d30e08a3a7291992b1eb14,
59d30eaaa3a7291992b1eb27,
59d30ec5a3a7291993b1eaf7,
53698e53a3a729239d20342a,3.0
546d6cb9a3a72906fa09bde7,
55f56e6d88ee383814a46ec1,
59aea7d6b595087a249169d7,3.0
594d19ee88ee3878ecb8b82b,3.0
53698edda3a729239d2035ae,
5a09a70f88ee383b8c9b4790,3.0
593457e7a3a72968e1876c1d,
5a465652c751df09aaf2291f,3.0
5ab9eb4488ee387a4ee0bb61,3.0
5ab9f3dfc751df2f936031d7,
5ad0c1b7c751df26f360080a,
5b45e7dc88ee38419c98db3b,
5b59b021c751df3901097ddd,
5b935d479ce2e717cebc02c2,
5beaf7d806e3e7772577c6f3,3.0
5c2602aa634f41032e06d548,
5c87249106e3e7279b4d34e6,3.0
5c8724a206e3e7279b4d34ee,3.0
536994bfa3a729239d204513,
5369963ea3a729239d20493f,
53699025a3a729239d20391c,3.0
5369903ea3a729239d203964,3.0
5369905aa3a729239d2039a8,
5369909ba3a729239d203a49,
5369909ba3a729239d203a4a,1.0
5369909ca3a729239d203a4b,
536990bea3a729239d203aa2,
536990c4a3a729239d203ab1,
53699108a3a729239d203b5f,3.0
5369910da3a729239d203b6a,3.0
53699111a3a729239d203b75,
53699112a3a729239d203b77,3.0
53699113a3a729239d203b78,3.0
53699115a3a729239d203b7e,3.0
53699118a3a729239d203b84,3.0
536c3f30a3a72933d8d1b396,3.0
5369911ba3a729239d203b8b,3.0
5369911ea3a729239d203b92,3.0
5369912ba3a729239d203bb6,3.0
5369912ca3a729239d203bb8,3.0
5369914da3a729239d203c13,
536991dba3a729239d203d89,3.0
53699236a3a729239d203e79,3.0
536992d2a3a729239d204012,2.0
536992e5a3a729239d204044,3.0
536992e7a3a729239d20404a,
53699331a3a729239d204113,3.0
5369933ba3a729239d204139,
53699374a3a729239d2041ce,3.0
53699396a3a729239d20422f,3.0
53699397a3a729239d204231,3.0
53699399a3a729239d204239,3.0
5369939ea3a729239d204245,2.0
